angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.04,,"[267, 14, 113, 139]",,0.0,,0.0,,0.95,,0.0,,0.0,,0.0,
0.08,,"[266, 16, 112, 137]",,0.01,,0.01,,0.88,,0.0,,0.02,,0.0,
0.12,,"[266, 16, 112, 139]",,0.01,,0.02,,0.81,,0.0,,0.03,,0.0,
0.15,,"[265, 16, 112, 139]",,0.01,,0.01,,0.79,,0.0,,0.03,,0.0,
0.14,,"[265, 17, 111, 138]",,0.01,,0.01,,0.83,,0.0,,0.02,,0.0,
0.14,,"[265, 16, 111, 139]",,0.01,,0.01,,0.84,,0.0,,0.01,,0.0,
0.09,,"[265, 17, 111, 137]",,0.0,,0.01,,0.88,,0.0,,0.01,,0.0,
0.02,,"[262, 19, 110, 136]",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.02,,"[262, 18, 111, 136]",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.04,,"[264, 20, 110, 134]",,0.01,,0.01,,0.93,,0.0,,0.02,,0.0,
0.06,,"[264, 14, 111, 137]",,0.03,,0.09,,0.6,,0.02,,0.21,,0.0,
0.1,,"[266, 16, 111, 136]",,0.04,,0.08,,0.47,,0.03,,0.27,,0.0,
0.12,,"[268, 18, 110, 131]",,0.03,,0.06,,0.55,,0.04,,0.22,,0.0,
0.09,,"[268, 15, 110, 136]",,0.0,,0.02,,0.77,,0.04,,0.09,,0.0,
0.1,,"[269, 14, 111, 136]",,0.0,,0.02,,0.72,,0.03,,0.13,,0.0,
0.06,,"[267, 9, 116, 140]",,0.0,,0.05,,0.63,,0.09,,0.17,,0.0,
0.04,,"[268, 6, 117, 141]",,0.0,,0.02,,0.8,,0.04,,0.09,,0.01,
0.01,,"[268, 8, 115, 138]",,0.0,,0.0,,0.97,,0.01,,0.0,,0.0,
0.01,,"[269, 9, 114, 136]",,0.0,,0.0,,0.95,,0.02,,0.01,,0.0,
0.02,,"[273, 10, 111, 136]",,0.0,,0.01,,0.89,,0.03,,0.04,,0.0,
0.05,,"[272, 10, 112, 135]",,0.0,,0.01,,0.87,,0.02,,0.05,,0.0,
0.04,,"[273, 5, 113, 140]",,0.0,,0.02,,0.86,,0.03,,0.05,,0.0,
